  Bryan ,0.93,9-9 (+0),1-2 (-1),57%,0.64,36%,0,0,22%,  Hibana ,  Smoke ,10,Win,Oregon
  Easilyy ,1.31,14-8 (+6),0-2 (-2),79%,1,43%,0,0,50%,  Lion ,  Pulse ,10,Win,Oregon
  Slashug ,1.37,15-7 (+8),2-2 (+0),64%,1.07,50%,0,3,60%,  Jackal ,  Rook ,10,Win,Oregon
  Ecl9pse ,0.79,10-14 (-4),0-4 (-4),64%,0.71,0%,0,0,67%,  Sledge ,  Bandit ,10,Win,Oregon
  geoo ,1.18,9-6 (+3),1-0 (+1),86%,0.64,57%,1,0,78%,  Buck ,  Mira ,10,Win,Oregon
  Chala ,1,10-11 (-1),1-1 (+0),64%,0.71,21%,0,2,44%,  Thermite ,  Smoke ,16,Loss,Oregon
  daave ,0.8,8-12 (-4),3-0 (+3),57%,0.57,14%,0,0,63%,  Lion ,  Bandit ,16,Loss,Oregon
  ThinkingNade ,1.25,14-9 (+5),3-1 (+2),71%,1,36%,0,0,33%,  Buck ,  Mute ,16,Loss,Oregon
  Trippen ,0.9,10-12 (-2),3-0 (+3),50%,0.71,14%,0,1,60%,  Ash ,  Mira ,16,Loss,Oregon
  Redeemer ,0.3,2-13 (-11),0-2 (-2),29%,0.14,7%,0,0,50%,  Lion ,  Lesion ,16,Loss,Oregon
  Necrox ,0.96,8-9 (-1),0-1 (-1),57%,0.57,36%,0,2,25%,  Glaz ,  Smoke ,9,Win,Border
  Yung ,1.3,12-6 (+6),1-2 (-1),71%,0.86,57%,0,1,17%,  Hibana ,  Smoke ,9,Win,Border
  BC ,0.77,5-9 (-4),0-1 (-1),57%,0.36,36%,1,0,80%,  Lion ,  Mira ,9,Win,Border
  nvK ,1.38,16-9 (+7),1-1 (+0),79%,1.14,36%,0,0,50%,  Zofia ,  Vigil ,9,Win,Border
  Canadian ,1,11-10 (+1),4-3 (+1),50%,0.79,29%,0,1,60%,  Buck ,  Pulse ,9,Win,Border
